indicator_code,indicator_name,definition_or_additional_info
ICCHFCF_T_TOTAL_45_LOW_CI,CHF - Case fatality within 30 days of the admission date,"Total, 45 years old and over, Lower confidence interval"
ICCHFCF_T_TOTAL_45_UP_CI,CHF - Case fatality within 30 days of the admission date,"Total, 45 years old and over, Upper confidence interval"
MORTHOSP_M_TOTAL_CRUDE_RATE_MORT,Deaths in hospital,"Male, All age groups, Rate per 100 deaths (%)"
MORTHOSP_F_TOTAL_CRUDE_RATE_MORT,Deaths in hospital,"Female, All age groups, Rate per 100 deaths (%)"
MORTHOSP_T_TOTAL_CRUDE_RATE_MORT,Deaths in hospital,"Total, All age groups, Rate per 100 deaths (%)"
ADMMOCAN_M_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 30 days of life - Cancer deaths,"Male, All age groups, Rate per 100 deaths (%)"
ADMMOCAR_M_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 30 days of life - Cardiovascular diseases' deaths,"Male, All age groups, Rate per 100 deaths (%)"
ADMMOCHR_M_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 30 days of life - Chronic respiratory diseases' deaths,"Male, All age groups, Rate per 100 deaths (%)"
ADMMOALZ_M_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 30 days of life - Alzheimer's and other dementias' deaths,"Male, All age groups, Rate per 100 deaths (%)"
ADMMOALL_M_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 30 days of life - All causes of death,"Male, All age groups, Rate per 100 deaths (%)"
ADMDECAR_M_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 180 days of life - Cardiovascular diseases' deaths,"Male, All age groups, Rate per 100 deaths (%)"
ADMDECHR_M_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 180 days of life - Chronic respiratory diseases' deaths,"Male, All age groups, Rate per 100 deaths (%)"
ADMDEALZ_M_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 180 days of life - Alzheimer's and other dementias' deaths,"Male, All age groups, Rate per 100 deaths (%)"
ADMDEALL_M_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 180 days of life - All causes of death,"Male, All age groups, Rate per 100 deaths (%)"
ADMDECAN_M_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 180 days of life - Cancer deaths,"Male, All age groups, Rate per 100 deaths (%)"
ADMMOCAN_F_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 30 days of life - Cancer deaths,"Female, All age groups, Rate per 100 deaths (%)"
ADMMOCAR_F_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 30 days of life - Cardiovascular diseases' deaths,"Female, All age groups, Rate per 100 deaths (%)"
ADMMOCHR_F_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 30 days of life - Chronic respiratory diseases' deaths,"Female, All age groups, Rate per 100 deaths (%)"
ADMMOALZ_F_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 30 days of life - Alzheimer's and other dementias' deaths,"Female, All age groups, Rate per 100 deaths (%)"
ADMMOALL_F_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 30 days of life - All causes of death,"Female, All age groups, Rate per 100 deaths (%)"
ADMDECAR_F_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 180 days of life - Cardiovascular diseases' deaths,"Female, All age groups, Rate per 100 deaths (%)"
ADMDECHR_F_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 180 days of life - Chronic respiratory diseases' deaths,"Female, All age groups, Rate per 100 deaths (%)"
ADMDEALZ_F_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 180 days of life - Alzheimer's and other dementias' deaths,"Female, All age groups, Rate per 100 deaths (%)"
ADMDEALL_F_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 180 days of life - All causes of death,"Female, All age groups, Rate per 100 deaths (%)"
ADMDECAN_F_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 180 days of life - Cancer deaths,"Female, All age groups, Rate per 100 deaths (%)"
ADMMOCAN_T_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 30 days of life - Cancer deaths,"Total, All age groups, Rate per 100 deaths (%)"
ADMMOCAR_T_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 30 days of life - Cardiovascular diseases' deaths,"Total, All age groups, Rate per 100 deaths (%)"
ADMMOCHR_T_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 30 days of life - Chronic respiratory diseases' deaths,"Total, All age groups, Rate per 100 deaths (%)"
ADMMOALZ_T_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 30 days of life - Alzheimer's and other dementias' deaths,"Total, All age groups, Rate per 100 deaths (%)"
ADMMOALL_T_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 30 days of life - All causes of death,"Total, All age groups, Rate per 100 deaths (%)"
ADMDECAR_T_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 180 days of life - Cardiovascular diseases' deaths,"Total, All age groups, Rate per 100 deaths (%)"
ADMDECHR_T_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 180 days of life - Chronic respiratory diseases' deaths,"Total, All age groups, Rate per 100 deaths (%)"
ADMDEALZ_T_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 180 days of life - Alzheimer's and other dementias' deaths,"Total, All age groups, Rate per 100 deaths (%)"
ADMDEALL_T_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 180 days of life - All causes of death,"Total, All age groups, Rate per 100 deaths (%)"
ADMDECAN_T_TOTAL_CRUDE_RATE_MORT,Unplanned/urgent in-patient admissions during the last 180 days of life - Cancer deaths,"Total, All age groups, Rate per 100 deaths (%)"
OBSTVDWI_F_TOTAL_CRUDE_RATE_CVAG,Obstetric trauma vaginal delivery with instrument,"Female, All age groups, Crude rate per 100 vaginal deliveries"
OBSTVDWO_F_TOTAL_CRUDE_RATE_CVAG,Obstetric trauma vaginal delivery without instrument,"Female, All age groups, Crude rate per 100 vaginal deliveries"
FOODTFAT,Total fat supply,Grams per capita per day
FOODCALT,Total calories supply,Kilocalories per capita per day
FOODPROT,Total protein supply,Grams per capita per day
FOODSUCR,Sugar supply,Kilos per capita per year
FOODFRUI,Fruits supply,Kilos per capita per year
FOODVEGE_FRVGFMTF,"Vegetables consumption, daily (survey)",% of females aged 15 years old and over
FOODVEGE_FRVGHOTH,"Vegetables consumption, daily (survey)",% of males aged 15 years old and over
FOODVEGE_FRVGTOTX,"Vegetables consumption, daily (survey)",% of population aged 15 years old and over
FOODFRUT_FRVGFMTF,"Fruits consumption, daily (survey)",% of females aged 15 years old and over
FOODFRUT_FRVGHOTH,"Fruits consumption, daily (survey)",% of males aged 15 years old and over
FOODFRUT_FRVGTOTX,"Fruits consumption, daily (survey)",% of population aged 15 years old and over
ACOLALCT,Alcohol consumption,Litres per capita (15+)
TOBATBCT_GRPPERQT,Tobacco consumption,Grams per capita (15+)
TOBATBCT_NBPFUMNB,Tobacco consumption,Cigarettes per smoker per day
TOBATBCT_PDLSFMTF,Tobacco consumption,% of females aged 15+ who are daily smokers
TOBATBCT_PDLSHOTH,Tobacco consumption,% of males aged 15+ who are daily smokers
TOBATBCT_PDLSTOTX,Tobacco consumption,% of population aged 15+ who are daily smokers
TOBATBCT_YNGPPTPC,Tobacco consumption,% of population aged 15-24 years old who are daily smokers
TOBATBCT_YNGPPHPH,Tobacco consumption,% of males aged 15-24 years old who are daily smokers
TOBATBCT_YNGPPFPF,Tobacco consumption,% of females aged 15-24 years old who are daily smokers
BODYOVSR_PERWOMTF,"Overweight population, self-reported",% of females
BODYOVSR_PERMANTH,"Overweight population, self-reported",% of males
BODYOVSR_TOTPOPTX,"Overweight population, self-reported",% of total population
BODYOBSR_PERWOMTF,"Obese population, self-reported",% of females
BODYOBSR_PERMANTH,"Obese population, self-reported",% of males
BODYOBSR_TOTPOPTX,"Obese population, self-reported",% of total population
BODYVBSR_PERWOMTF,"Overweight or obese population, self-reported",% of females
BODYVBSR_PERMANTH,"Overweight or obese population, self-reported",% of males
BODYVBSR_TOTPOPTX,"Overweight or obese population, self-reported",% of total population
BODYOVMS_PERWOMTF,"Overweight population, measured",% of females
BODYOVMS_PERMANTH,"Overweight population, measured",% of males
BODYOVMS_TOTPOPTX,"Overweight population, measured",% of total population
BODYOBMS_PERWOMTF,"Obese population, measured",% of females
BODYOBMS_PERMANTH,"Obese population, measured",% of males
BODYOBMS_TOTPOPTX,"Obese population, measured",% of total population
BODYVBMS_PERWOMTF,"Overweight or obese population, measured",% of females
BODYVBMS_PERMANTH,"Overweight or obese population, measured",% of males
BODYVBMS_TOTPOPTX,"Overweight or obese population, measured",% of total population
FOODVEGG,Vegetables supply,Kilos per capita per year
VAPEVAPY_VAPREGPF,"Vaping population: e-cigarettes use, young adults (aged 15-24 years old)",% of females who are regular users
VAPEVAPY_VAPREGPC,"Vaping population: e-cigarettes use, young adults (aged 15-24 years old)",% of population who are regular users
VAPEVAPY_VAPREGPH,"Vaping population: e-cigarettes use, young adults (aged 15-24 years old)",% of males who are regular users
VAPEVAPA_VAPREGPF,"Vaping population: e-cigarettes use, adults (aged 15+)",% of females who are regular users
VAPEVAPA_VAPREGPC,"Vaping population: e-cigarettes use, adults (aged 15+)",% of population who are regular users
VAPEVAPA_VAPREGPH,"Vaping population: e-cigarettes use, adults (aged 15+)",% of males who are regular users
INJRACIR,Injuries in road traffic accidents,Injured per million population
CICDALLC_TXCMILTX,All causes of death,Deaths per 100 000 population (standardised rates)
CICDINFE_TXCMILTX,Certain infectious and parasitic diseases,Deaths per 100 000 population (standardised rates)
CICDHIVD_TXCMILTX,HIV-AIDS,Deaths per 100 000 population (standardised rates)
CICDTUME_TXCMILTX,Malignant neoplasms,Deaths per 100 000 population (standardised rates)
CICDNCRA_TXCMILTX,"Malignant neoplasms of colon, rectum and anus",Deaths per 100 000 population (standardised rates)
CICDCANC_TXCMILTX,"Malignant neoplasms of trachea, bronchus, lung",Deaths per 100 000 population (standardised rates)
CICDSANG_TXCMILTX,Diseases of the blood and blood-forming organs,Deaths per 100 000 population (standardised rates)
CICDENDO_TXCMILTX,"Endocrine, nutritional and metabolic diseases",Deaths per 100 000 population (standardised rates)
CICDDBTM_TXCMILTX,Diabetes mellitus,Deaths per 100 000 population (standardised rates)
CICDTROU_TXCMILTX,Mental and behavioural disorders,Deaths per 100 000 population (standardised rates)
CICDNERV_TXCMILTX,Diseases of the nervous system,Deaths per 100 000 population (standardised rates)
CICDCIRC_TXCMILTX,Diseases of the circulatory system,Deaths per 100 000 population (standardised rates)
CICDISCH_TXCMILTX,Ischaemic heart diseases,Deaths per 100 000 population (standardised rates)
CICDMYOC_TXCMILTX,Acute myocardial infarction,Deaths per 100 000 population (standardised rates)
CICDCERV_TXCMILTX,Cerebrovascular diseases,Deaths per 100 000 population (standardised rates)
CICDREPS_TXCMILTX,Diseases of the respiratory system,Deaths per 100 000 population (standardised rates)
CICDINPN_TXCMILTX,Influenza,Deaths per 100 000 population (standardised rates)
CICDBAEM_TXCMILTX,Chronic obstructive pulmonary diseases,Deaths per 100 000 population (standardised rates)
CICDDIGE_TXCMILTX,Diseases of the digestive system,Deaths per 100 000 population (standardised rates)
CICDCIRR_TXCMILTX,Chronic liver diseases and cirrhosis,Deaths per 100 000 population (standardised rates)
CICDPEAU_TXCMILTX,Diseases of the skin and subcutaneous tissue,Deaths per 100 000 population (standardised rates)
CICDOSTE_TXCMILTX,Diseases of the musculoskeletal system and connective tissue,Deaths per 100 000 population (standardised rates)
CICDGENI_TXCMILTX,Diseases of the genitourinary system,Deaths per 100 000 population (standardised rates)
CICDAFFE_TXCMILTX,Certain conditions originating in the perinatal period,Deaths per 100 000 population (standardised rates)
CICDCONG_TXCMILTX,"Congenital malformations, deformations and chromosomal abnormalities",Deaths per 100 000 population (standardised rates)
CICDSYMP_TXCMILTX,"Symptoms, signs, ill-defined causes",Deaths per 100 000 population (standardised rates)
CICDEXTC_TXCMILTX,External causes of mortality,Deaths per 100 000 population (standardised rates)
CICDTRAC_TXCMILTX,Transport Accidents,Deaths per 100 000 population (standardised rates)
CICDCHUT_TXCMILTX,Accidental falls,Deaths per 100 000 population (standardised rates)
CICDHARM_TXCMILTX,Intentional self-harm,Deaths per 100 000 population (standardised rates)
CICDHOCD_TXCMILTX,Assault,Deaths per 100 000 population (standardised rates)
CICDTBLS_TXCMILTX,Tuberculosis,Deaths per 100 000 population (standardised rates)
CICDNEOP_TXCMILTX,Neoplasms,Deaths per 100 000 population (standardised rates)
CICDSTOM_TXCMILTX,Malignant neoplasms of stomach,Deaths per 100 000 population (standardised rates)
CICDPANC_TXCMILTX,Malignant neoplasms of pancreas,Deaths per 100 000 population (standardised rates)
CICDLIVR_TXCMILTX,Malignant neoplasms of liver,Deaths per 100 000 population (standardised rates)
CICDHODG_TXCMILTX,Hodgkin’s disease,Deaths per 100 000 population (standardised rates)
CICDLEUK_TXCMILTX,Leukemia,Deaths per 100 000 population (standardised rates)
CICDBLAD_TXCMILTX,Malignant neoplasms of bladder,Deaths per 100 000 population (standardised rates)
CICDSKIN_TXCMILTX,Malignant melanoma of skin,Deaths per 100 000 population (standardised rates)
CICDDMTA_TXCMILTX,Dementia,Deaths per 100 000 population (standardised rates)
CICDPARK_TXCMILTX,Parkinson's disease,Deaths per 100 000 population (standardised rates)
CICDALZH_TXCMILTX,Alzheimer's disease,Deaths per 100 000 population (standardised rates)
CICDPNEU_TXCMILTX,Pneumonia,Deaths per 100 000 population (standardised rates)
CICDASMA_TXCMILTX,Asthma,Deaths per 100 000 population (standardised rates)
CICDPEPT_TXCMILTX,Peptic ulcer,Deaths per 100 000 population (standardised rates)
CICDACCD_TXCMILTX,Accidents,Deaths per 100 000 population (standardised rates)
CICDPOSN_TXCMILTX,Accidental poisoning,Deaths per 100 000 population (standardised rates)
CICDALLC_TXCMFETF,All causes of death,Deaths per 100 000 females (standardised rates)
CICDINFE_TXCMFETF,Certain infectious and parasitic diseases,Deaths per 100 000 females (standardised rates)
CICDHIVD_TXCMFETF,HIV-AIDS,Deaths per 100 000 females (standardised rates)
CICDTUME_TXCMFETF,Malignant neoplasms,Deaths per 100 000 females (standardised rates)
CICDNCRA_TXCMFETF,"Malignant neoplasms of colon, rectum and anus",Deaths per 100 000 females (standardised rates)
CICDCANC_TXCMFETF,"Malignant neoplasms of trachea, bronchus, lung",Deaths per 100 000 females (standardised rates)
CICDMNBR_TXCMFETF,Malignant neoplasms of female breast,Deaths per 100 000 females (standardised rates)
CICDCRVX_TXCMFETF,Malignant neoplasms of cervix uteri,Deaths per 100 000 females (standardised rates)
CICDSANG_TXCMFETF,Diseases of the blood and blood-forming organs,Deaths per 100 000 females (standardised rates)
CICDENDO_TXCMFETF,"Endocrine, nutritional and metabolic diseases",Deaths per 100 000 females (standardised rates)
CICDDBTM_TXCMFETF,Diabetes mellitus,Deaths per 100 000 females (standardised rates)
CICDTROU_TXCMFETF,Mental and behavioural disorders,Deaths per 100 000 females (standardised rates)
CICDNERV_TXCMFETF,Diseases of the nervous system,Deaths per 100 000 females (standardised rates)
CICDCIRC_TXCMFETF,Diseases of the circulatory system,Deaths per 100 000 females (standardised rates)
CICDISCH_TXCMFETF,Ischaemic heart diseases,Deaths per 100 000 females (standardised rates)
CICDMYOC_TXCMFETF,Acute myocardial infarction,Deaths per 100 000 females (standardised rates)
CICDCERV_TXCMFETF,Cerebrovascular diseases,Deaths per 100 000 females (standardised rates)
CICDREPS_TXCMFETF,Diseases of the respiratory system,Deaths per 100 000 females (standardised rates)
CICDINPN_TXCMFETF,Influenza,Deaths per 100 000 females (standardised rates)
CICDBAEM_TXCMFETF,Chronic obstructive pulmonary diseases,Deaths per 100 000 females (standardised rates)
CICDDIGE_TXCMFETF,Diseases of the digestive system,Deaths per 100 000 females (standardised rates)
CICDCIRR_TXCMFETF,Chronic liver diseases and cirrhosis,Deaths per 100 000 females (standardised rates)
CICDPEAU_TXCMFETF,Diseases of the skin and subcutaneous tissue,Deaths per 100 000 females (standardised rates)
CICDOSTE_TXCMFETF,Diseases of the musculoskeletal system and connective tissue,Deaths per 100 000 females (standardised rates)
CICDGENI_TXCMFETF,Diseases of the genitourinary system,Deaths per 100 000 females (standardised rates)
CICDGROS_TXCMFETF,"Pregnancy, childbirth and the puerperium",Deaths per 100 000 females (standardised rates)
CICDAFFE_TXCMFETF,Certain conditions originating in the perinatal period,Deaths per 100 000 females (standardised rates)
CICDCONG_TXCMFETF,"Congenital malformations, deformations and chromosomal abnormalities",Deaths per 100 000 females (standardised rates)
CICDSYMP_TXCMFETF,"Symptoms, signs, ill-defined causes",Deaths per 100 000 females (standardised rates)
CICDEXTC_TXCMFETF,External causes of mortality,Deaths per 100 000 females (standardised rates)
CICDTRAC_TXCMFETF,Transport Accidents,Deaths per 100 000 females (standardised rates)
CICDCHUT_TXCMFETF,Accidental falls,Deaths per 100 000 females (standardised rates)
CICDHARM_TXCMFETF,Intentional self-harm,Deaths per 100 000 females (standardised rates)
CICDHOCD_TXCMFETF,Assault,Deaths per 100 000 females (standardised rates)
CICDTBLS_TXCMFETF,Tuberculosis,Deaths per 100 000 females (standardised rates)
CICDNEOP_TXCMFETF,Neoplasms,Deaths per 100 000 females (standardised rates)
CICDSTOM_TXCMFETF,Malignant neoplasms of stomach,Deaths per 100 000 females (standardised rates)
CICDPANC_TXCMFETF,Malignant neoplasms of pancreas,Deaths per 100 000 females (standardised rates)
CICDLIVR_TXCMFETF,Malignant neoplasms of liver,Deaths per 100 000 females (standardised rates)
CICDOVRY_TXCMFETF,Malignant neoplasms of ovary,Deaths per 100 000 females (standardised rates)
CICDHODG_TXCMFETF,Hodgkin’s disease,Deaths per 100 000 females (standardised rates)
CICDLEUK_TXCMFETF,Leukemia,Deaths per 100 000 females (standardised rates)
CICDBLAD_TXCMFETF,Malignant neoplasms of bladder,Deaths per 100 000 females (standardised rates)
CICDSKIN_TXCMFETF,Malignant melanoma of skin,Deaths per 100 000 females (standardised rates)
CICDDMTA_TXCMFETF,Dementia,Deaths per 100 000 females (standardised rates)
CICDPARK_TXCMFETF,Parkinson's disease,Deaths per 100 000 females (standardised rates)
CICDALZH_TXCMFETF,Alzheimer's disease,Deaths per 100 000 females (standardised rates)
CICDPNEU_TXCMFETF,Pneumonia,Deaths per 100 000 females (standardised rates)
CICDASMA_TXCMFETF,Asthma,Deaths per 100 000 females (standardised rates)
CICDPEPT_TXCMFETF,Peptic ulcer,Deaths per 100 000 females (standardised rates)
CICDACCD_TXCMFETF,Accidents,Deaths per 100 000 females (standardised rates)
CICDPOSN_TXCMFETF,Accidental poisoning,Deaths per 100 000 females (standardised rates)
CICDALLC_TXCMHOTH,All causes of death,Deaths per 100 000 males (standardised rates)
CICDINFE_TXCMHOTH,Certain infectious and parasitic diseases,Deaths per 100 000 males (standardised rates)
CICDHIVD_TXCMHOTH,HIV-AIDS,Deaths per 100 000 males (standardised rates)
CICDTUME_TXCMHOTH,Malignant neoplasms,Deaths per 100 000 males (standardised rates)
CICDNCRA_TXCMHOTH,"Malignant neoplasms of colon, rectum and anus",Deaths per 100 000 males (standardised rates)
CICDCANC_TXCMHOTH,"Malignant neoplasms of trachea, bronchus, lung",Deaths per 100 000 males (standardised rates)
CICDMNPR_TXCMHOTH,Malignant neoplasms of prostate,Deaths per 100 000 males (standardised rates)
CICDSANG_TXCMHOTH,Diseases of the blood and blood-forming organs,Deaths per 100 000 males (standardised rates)
CICDENDO_TXCMHOTH,"Endocrine, nutritional and metabolic diseases",Deaths per 100 000 males (standardised rates)
CICDDBTM_TXCMHOTH,Diabetes mellitus,Deaths per 100 000 males (standardised rates)
CICDTROU_TXCMHOTH,Mental and behavioural disorders,Deaths per 100 000 males (standardised rates)
CICDNERV_TXCMHOTH,Diseases of the nervous system,Deaths per 100 000 males (standardised rates)
CICDCIRC_TXCMHOTH,Diseases of the circulatory system,Deaths per 100 000 males (standardised rates)
CICDISCH_TXCMHOTH,Ischaemic heart diseases,Deaths per 100 000 males (standardised rates)
CICDMYOC_TXCMHOTH,Acute myocardial infarction,Deaths per 100 000 males (standardised rates)
CICDCERV_TXCMHOTH,Cerebrovascular diseases,Deaths per 100 000 males (standardised rates)
CICDREPS_TXCMHOTH,Diseases of the respiratory system,Deaths per 100 000 males (standardised rates)
CICDINPN_TXCMHOTH,Influenza,Deaths per 100 000 males (standardised rates)
CICDBAEM_TXCMHOTH,Chronic obstructive pulmonary diseases,Deaths per 100 000 males (standardised rates)
CICDDIGE_TXCMHOTH,Diseases of the digestive system,Deaths per 100 000 males (standardised rates)
CICDCIRR_TXCMHOTH,Chronic liver diseases and cirrhosis,Deaths per 100 000 males (standardised rates)
CICDPEAU_TXCMHOTH,Diseases of the skin and subcutaneous tissue,Deaths per 100 000 males (standardised rates)
CICDOSTE_TXCMHOTH,Diseases of the musculoskeletal system and connective tissue,Deaths per 100 000 males (standardised rates)
CICDGENI_TXCMHOTH,Diseases of the genitourinary system,Deaths per 100 000 males (standardised rates)
CICDAFFE_TXCMHOTH,Certain conditions originating in the perinatal period,Deaths per 100 000 males (standardised rates)
CICDCONG_TXCMHOTH,"Congenital malformations, deformations and chromosomal abnormalities",Deaths per 100 000 males (standardised rates)
CICDSYMP_TXCMHOTH,"Symptoms, signs, ill-defined causes",Deaths per 100 000 males (standardised rates)
CICDEXTC_TXCMHOTH,External causes of mortality,Deaths per 100 000 males (standardised rates)
CICDTRAC_TXCMHOTH,Transport Accidents,Deaths per 100 000 males (standardised rates)
CICDCHUT_TXCMHOTH,Accidental falls,Deaths per 100 000 males (standardised rates)
CICDHARM_TXCMHOTH,Intentional self-harm,Deaths per 100 000 males (standardised rates)
CICDHOCD_TXCMHOTH,Assault,Deaths per 100 000 males (standardised rates)
CICDTBLS_TXCMHOTH,Tuberculosis,Deaths per 100 000 males (standardised rates)
CICDNEOP_TXCMHOTH,Neoplasms,Deaths per 100 000 males (standardised rates)
CICDSTOM_TXCMHOTH,Malignant neoplasms of stomach,Deaths per 100 000 males (standardised rates)
CICDPANC_TXCMHOTH,Malignant neoplasms of pancreas,Deaths per 100 000 males (standardised rates)
CICDLIVR_TXCMHOTH,Malignant neoplasms of liver,Deaths per 100 000 males (standardised rates)
CICDHODG_TXCMHOTH,Hodgkin’s disease,Deaths per 100 000 males (standardised rates)
CICDLEUK_TXCMHOTH,Leukemia,Deaths per 100 000 males (standardised rates)
CICDBLAD_TXCMHOTH,Malignant neoplasms of bladder,Deaths per 100 000 males (standardised rates)
CICDSKIN_TXCMHOTH,Malignant melanoma of skin,Deaths per 100 000 males (standardised rates)
CICDDMTA_TXCMHOTH,Dementia,Deaths per 100 000 males (standardised rates)
CICDPARK_TXCMHOTH,Parkinson's disease,Deaths per 100 000 males (standardised rates)
CICDALZH_TXCMHOTH,Alzheimer's disease,Deaths per 100 000 males (standardised rates)
CICDPNEU_TXCMHOTH,Pneumonia,Deaths per 100 000 males (standardised rates)
CICDASMA_TXCMHOTH,Asthma,Deaths per 100 000 males (standardised rates)
CICDPEPT_TXCMHOTH,Peptic ulcer,Deaths per 100 000 males (standardised rates)
CICDACCD_TXCMHOTH,Accidents,Deaths per 100 000 males (standardised rates)
CICDPOSN_TXCMHOTH,Accidental poisoning,Deaths per 100 000 males (standardised rates)
PLYLALLC_ANNHOMTH,All causes of death,"Years lost, /100 000 males, aged 75 years old"
PLYLINFE_ANNHOMTH,Certain infectious and parasitic diseases,"Years lost, /100 000 males, aged 75 years old"
PLYLHIVD_ANNHOMTH,HIV-AIDS,"Years lost, /100 000 males, aged 75 years old"
PLYLTUME_ANNHOMTH,Malignant neoplasms,"Years lost, /100 000 males, aged 75 years old"
PLYLNCRA_ANNHOMTH,"Malignant neoplasms of colon, rectum and anus","Years lost, /100 000 males, aged 75 years old"
PLYLCANC_ANNHOMTH,"Malignant neoplasms of trachea, bronchus, lung","Years lost, /100 000 males, aged 75 years old"
PLYLMNPR,Malignant neoplasms of prostate,"Years lost, /100 000 males, aged 75 years old"
PLYLSANG_ANNHOMTH,Diseases of the blood and blood-forming organs,"Years lost, /100 000 males, aged 75 years old"
PLYLENDO_ANNHOMTH,"Endocrine, nutritional and metabolic diseases","Years lost, /100 000 males, aged 75 years old"
PLYLDBTM_ANNHOMTH,Diabetes mellitus,"Years lost, /100 000 males, aged 75 years old"
PLYLTROU_ANNHOMTH,Mental and behavioural disorders,"Years lost, /100 000 males, aged 75 years old"
PLYLNERV_ANNHOMTH,Diseases of the nervous system,"Years lost, /100 000 males, aged 75 years old"
PLYLCIRC_ANNHOMTH,Diseases of the circulatory system,"Years lost, /100 000 males, aged 75 years old"
PLYLISCH_ANNHOMTH,Ischaemic heart diseases,"Years lost, /100 000 males, aged 75 years old"
PLYLMYOC_ANNHOMTH,Acute myocardial infarction,"Years lost, /100 000 males, aged 75 years old"
PLYLCERV_ANNHOMTH,Cerebrovascular diseases,"Years lost, /100 000 males, aged 75 years old"
PLYLREPS_ANNHOMTH,Diseases of the respiratory system,"Years lost, /100 000 males, aged 75 years old"
PLYLINPN_ANNHOMTH,Influenza,"Years lost, /100 000 males, aged 75 years old"
PLYLBAEM_ANNHOMTH,Chronic obstructive pulmonary diseases,"Years lost, /100 000 males, aged 75 years old"
PLYLDIGE_ANNHOMTH,Diseases of the digestive system,"Years lost, /100 000 males, aged 75 years old"
PLYLCIRR_ANNHOMTH,Chronic liver diseases and cirrhosis,"Years lost, /100 000 males, aged 75 years old"
PLYLPEAU_ANNHOMTH,Diseases of the skin and subcutaneous tissue,"Years lost, /100 000 males, aged 75 years old"
PLYLOSTE_ANNHOMTH,Diseases of the musculoskeletal system and connective tissue,"Years lost, /100 000 males, aged 75 years old"
PLYLGENI_ANNHOMTH,Diseases of the genitourinary system,"Years lost, /100 000 males, aged 75 years old"
PLYLAFFE_ANNHOMTH,Certain conditions originating in the perinatal period,"Years lost, /100 000 males, aged 75 years old"
PLYLCONG_ANNHOMTH,Congenital malformations and chromosomal abnormalities,"Years lost, /100 000 males, aged 75 years old"
PLYLSYMP_ANNHOMTH,"Symptoms, signs, ill-defined causes","Years lost, /100 000 males, aged 75 years old"
PLYLEXTC_ANNHOMTH,External causes of mortality,"Years lost, /100 000 males, aged 75 years old"
PLYLTRAC_ANNHOMTH,Transport Accidents,"Years lost, /100 000 males, aged 75 years old"
PLYLCHUT_ANNHOMTH,Accidental falls,"Years lost, /100 000 males, aged 75 years old"
PLYLHARM_ANNHOMTH,Intentional self-harm,"Years lost, /100 000 males, aged 75 years old"
PLYLHOCD_ANNHOMTH,Assault,"Years lost, /100 000 males, aged 75 years old"
PLYLTBLS_ANNHOMTH,Tuberculosis,"Years lost, /100 000 males, aged 75 years old"
PLYLNEOP_ANNHOMTH,Neoplasms,"Years lost, /100 000 males, aged 75 years old"
PLYLSTOM_ANNHOMTH,Malignant neoplasms of stomach,"Years lost, /100 000 males, aged 75 years old"
PLYLPANC_ANNHOMTH,Malignant neoplasms of pancreas,"Years lost, /100 000 males, aged 75 years old"
PLYLLIVR_ANNHOMTH,Malignant neoplasms of liver,"Years lost, /100 000 males, aged 75 years old"
PLYLHODG_ANNHOMTH,Hodgkin’s disease,"Years lost, /100 000 males, aged 75 years old"
