"indicator_code"	"indicator_name"	"long_definition"
"UIS.GTVP.3.V"	"Share of all students in upper secondary education enrolled in vocational programmes (%)"	"Total number of students enrolled in vocational programmes at the upper secondary education level, expressed as a percentage of the total number of students enrolled in all programmes (vocational and general) at the upper secondary level. Vocational education is designed for learners to acquire the knowledge, skills and competencies specific to a particular occupation or trade or class of occupations or trades. Vocational education may have work-based components (e.g. apprenticeships). Successful completion of such programmes leads to labour-market relevant vocational qualifications acknowledged as occupationally-oriented by the relevant national authorities and/or the labour market."
"UIS.MS.56.F"	"Total inbound internationally mobile students, female (number)"	"Total number of female students who have crossed a national or territorial border for the purpose of education and are now enrolled in tertiary institutions outside their country of origin."
"UIS.MS.56.T"	"Total inbound internationally mobile students, both sexes (number)"	"Total number of students who have crossed a national or territorial border for the purpose of education and are now enrolled in tertiary institutions outside their country of origin."
"UIS.MSEP.56"	"Inbound mobility rate, both sexes (%)"	"Number of students from abroad studying in a given country, as a percentage of the total tertiary enrollment in that country."
"UIS.NERT.1.GPI"	"Total net enrolment rate, primary, gender parity index (GPI)"	"Ratio of female total net enrolment rate for primary to the male total net enrolment rate for primary. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females."
"UIS.OE.56.40510"	"Total outbound internationally mobile tertiary students studying abroad, all countries, both sexes (number)"	"Students who have crossed a national or territorial border for the purpose of education and are now enrolled outside their country of origin."
"UIS.OFST.2"	"Out-of-school adolescents of lower secondary school age, both sexes (number)"	"Total number of lower secondary school age adolescents who are not enrolled in lower secondary education."
"UIS.OFST.2.F"	"Out-of-school adolescents of lower secondary school age, female (number)"	"Total number of female lower secondary school age adolescents who are not enrolled in lower secondary education."
"UIS.OFST.2.M"	"Out-of-school adolescents of lower secondary school age, male (number)"	"Total number of male lower secondary school age adolescents who are not enrolled in lower secondary education."
"UIS.OMR.56"	"Outbound mobility ratio, all regions, both sexes (%)"	"Number of students from a given country studying abroad as a percentage of the total tertiary enrolment in that country."
"UIS.R.1"	"Repeaters in primary education, all grades, both sexes (number)"	"Number of pupils enrolled in the same grade for a second (or further) year."
"UIS.R.1.F"	"Repeaters in primary education, all grades, female (number)"	"Number of female pupils enrolled in the same grade for a second (or further) year."
"UIS.R.1.G1"	"Repeaters in Grade 1 of primary education, both sexes (number)"	"Number of pupils in the specified grade who are enrolled in the same grade for a second (or further) year."
"UIS.R.1.G1.F"	"Repeaters in Grade 1 of primary education, female (number)"	"Number of female pupils in the specified grade who are enrolled in the same grade for a second (or further) year."
"UIS.R.1.G2"	"Repeaters in Grade 2 of primary education, both sexes (number)"	"Number of pupils in the specified grade who are enrolled in the same grade for a second (or further) year."
"UIS.R.1.G2.F"	"Repeaters in Grade 2 of primary education, female (number)"	"Number of female pupils in the specified grade who are enrolled in the same grade for a second (or further) year."
"UIS.R.1.G3"	"Repeaters in Grade 3 of primary education, both sexes (number)"	"Number of pupils in the specified grade who are enrolled in the same grade for a second (or further) year."
"UIS.R.1.G3.F"	"Repeaters in Grade 3 of primary education, female (number)"	"Number of female pupils in the specified grade who are enrolled in the same grade for a second (or further) year."
"UIS.R.1.G4"	"Repeaters in Grade 4 of primary education, both sexes (number)"	"Number of pupils in the specified grade who are enrolled in the same grade for a second (or further) year."
"UIS.R.1.G4.F"	"Repeaters in Grade 4 of primary education, female (number)"	"Number of female pupils in the specified grade who are enrolled in the same grade for a second (or further) year."
"UIS.R.1.G5"	"Repeaters in Grade 5 of primary education, both sexes (number)"	"Number of pupils in the specified grade who are enrolled in the same grade for a second (or further) year."
"UIS.R.1.G5.F"	"Repeaters in Grade 5 of primary education, female (number)"	"Number of female pupils in the specified grade who are enrolled in the same grade for a second (or further) year."
"UIS.R.1.G6"	"Repeaters in Grade 6 of primary education, both sexes (number)"	"Number of pupils in the specified grade who are enrolled in the same grade for a second (or further) year."
"UIS.R.1.G6.F"	"Repeaters in Grade 6 of primary education, female (number)"	"Number of female pupils in the specified grade who are enrolled in the same grade for a second (or further) year."
"UIS.R.2.GPV"	"Repeaters in lower secondary general education, all grades, both sexes (number)"	"Number of pupils in the specified grade who are enrolled in the same grade for a second (or further) year."
"UIS.R.2.GPV.F"	"Repeaters in lower secondary general education, all grades, female (number)"	"Number of pupils in the specified grade who are enrolled in the same grade for a second (or further) year."
"UIS.R.2.GPV.G1"	"Repeaters in Grade 1 of lower secondary general education, both sexes (number)"	"Number of pupils in the specified grade who are enrolled in the same grade for a second (or further) year."
"UIS.R.2.GPV.G1.F"	"Repeaters in Grade 1 of lower secondary general education, female (number)"	"Number of pupils in the specified grade who are enrolled in the same grade for a second (or further) year."
"UIS.R.2.GPV.G2"	"Repeaters in Grade 2 of lower secondary general education, both sexes (number)"	"Number of pupils in the specified grade who are enrolled in the same grade for a second (or further) year."
"UIS.R.2.GPV.G2.F"	"Repeaters in Grade 2 of lower secondary general education, female (number)"	"Number of pupils in the specified grade who are enrolled in the same grade for a second (or further) year."
"UIS.R.2.GPV.G3"	"Repeaters in Grade 3 of lower secondary general education, both sexes (number)"	"Number of pupils in the specified grade who are enrolled in the same grade for a second (or further) year."
"UIS.R.2.GPV.G3.F"	"Repeaters in Grade 3 of lower secondary general education, female (number)"	"Number of pupils in the specified grade who are enrolled in the same grade for a second (or further) year."
"UIS.REPR.1.G1"	"Repetition rate in Grade 1 of primary education, both sexes (%)"	"Number of repeaters in a given grade in a given school year, expressed as a percentage of enrolment in that grade the previous school year. Divide the number of repeaters in a given grade in school year t+1 by the number of pupils from the same cohort enrolled in the same grade in the previous school year t."
"UIS.REPR.1.G1.F"	"Repetition rate in Grade 1 of primary education, female (%)"	"Number of female repeaters in a given grade in a given school year, expressed as a percentage of female enrolment in that grade the previous school year. Divide the number of female repeaters in a given grade in school year t+1 by the number of female pupils from the same cohort enrolled in the same grade in the previous school year t."
"UIS.REPR.1.G1.M"	"Repetition rate in Grade 1 of primary education, male (%)"	"Number of male repeaters in a given grade in a given school year, expressed as a percentage of male enrolment in that grade the previous school year. Divide the number of male repeaters in a given grade in school year t+1 by the number of male pupils from the same cohort enrolled in the same grade in the previous school year t."
"UIS.REPR.1.G2"	"Repetition rate in Grade 2 of primary education, both sexes (%)"	"Number of repeaters in a given grade in a given school year, expressed as a percentage of enrolment in that grade the previous school year. Divide the number of repeaters in a given grade in school year t+1 by the number of pupils from the same cohort enrolled in the same grade in the previous school year t."
"UIS.REPR.1.G2.F"	"Repetition rate in Grade 2 of primary education, female (%)"	"Number of female repeaters in a given grade in a given school year, expressed as a percentage of female enrolment in that grade the previous school year. Divide the number of female repeaters in a given grade in school year t+1 by the number of female pupils from the same cohort enrolled in the same grade in the previous school year t."
"UIS.REPR.1.G2.M"	"Repetition rate in Grade 2 of primary education, male (%)"	"Number of male repeaters in a given grade in a given school year, expressed as a percentage of male enrolment in that grade the previous school year. Divide the number of male repeaters in a given grade in school year t+1 by the number of male pupils from the same cohort enrolled in the same grade in the previous school year t."
"UIS.REPR.1.G3"	"Repetition rate in Grade 3 of primary education, both sexes (%)"	"Number of repeaters in a given grade in a given school year, expressed as a percentage of enrolment in that grade the previous school year. Divide the number of repeaters in a given grade in school year t+1 by the number of pupils from the same cohort enrolled in the same grade in the previous school year t."
"UIS.REPR.1.G3.F"	"Repetition rate in Grade 3 of primary education, female (%)"	"Number of female repeaters in a given grade in a given school year, expressed as a percentage of female enrolment in that grade the previous school year. Divide the number of female repeaters in a given grade in school year t+1 by the number of female pupils from the same cohort enrolled in the same grade in the previous school year t."
"UIS.REPR.1.G3.M"	"Repetition rate in Grade 3 of primary education, male (%)"	"Number of male repeaters in a given grade in a given school year, expressed as a percentage of male enrolment in that grade the previous school year. Divide the number of male repeaters in a given grade in school year t+1 by the number of male pupils from the same cohort enrolled in the same grade in the previous school year t."
"UIS.REPR.1.G4"	"Repetition rate in Grade 4 of primary education, both sexes (%)"	"Number of repeaters in a given grade in a given school year, expressed as a percentage of enrolment in that grade the previous school year. Divide the number of repeaters in a given grade in school year t+1 by the number of pupils from the same cohort enrolled in the same grade in the previous school year t."
"UIS.REPR.1.G4.F"	"Repetition rate in Grade 4 of primary education, female (%)"	"Number of female repeaters in a given grade in a given school year, expressed as a percentage of female enrolment in that grade the previous school year. Divide the number of female repeaters in a given grade in school year t+1 by the number of female pupils from the same cohort enrolled in the same grade in the previous school year t."
"UIS.REPR.1.G4.M"	"Repetition rate in Grade 4 of primary education, male (%)"	"Number of male repeaters in a given grade in a given school year, expressed as a percentage of male enrolment in that grade the previous school year. Divide the number of male repeaters in a given grade in school year t+1 by the number of male pupils from the same cohort enrolled in the same grade in the previous school year t."
"UIS.REPR.1.G5"	"Repetition rate in Grade 5 of primary education, both sexes (%)"	"Number of repeaters in a given grade in a given school year, expressed as a percentage of enrolment in that grade the previous school year. Divide the number of repeaters in a given grade in school year t+1 by the number of pupils from the same cohort enrolled in the same grade in the previous school year t."
"UIS.REPR.1.G5.F"	"Repetition rate in Grade 5 of primary education, female (%)"	"Number of female repeaters in a given grade in a given school year, expressed as a percentage of female enrolment in that grade the previous school year. Divide the number of female repeaters in a given grade in school year t+1 by the number of female pupils from the same cohort enrolled in the same grade in the previous school year t."
"UIS.REPR.1.G5.M"	"Repetition rate in Grade 5 of primary education, male (%)"	"Number of male repeaters in a given grade in a given school year, expressed as a percentage of male enrolment in that grade the previous school year. Divide the number of male repeaters in a given grade in school year t+1 by the number of male pupils from the same cohort enrolled in the same grade in the previous school year t."
"UIS.REPR.1.G6"	"Repetition rate in Grade 6 of primary education, both sexes (%)"	"Number of repeaters in a given grade in a given school year, expressed as a percentage of enrolment in that grade the previous school year. Divide the number of repeaters in a given grade in school year t+1 by the number of pupils from the same cohort enrolled in the same grade in the previous school year t."
"UIS.REPR.1.G6.F"	"Repetition rate in Grade 6 of primary education, female (%)"	"Number of female repeaters in a given grade in a given school year, expressed as a percentage of female enrolment in that grade the previous school year. Divide the number of female repeaters in a given grade in school year t+1 by the number of female pupils from the same cohort enrolled in the same grade in the previous school year t."
"UIS.REPR.1.G6.M"	"Repetition rate in Grade 6 of primary education, male (%)"	"Number of male repeaters in a given grade in a given school year, expressed as a percentage of male enrolment in that grade the previous school year. Divide the number of male repeaters in a given grade in school year t+1 by the number of male pupils from the same cohort enrolled in the same grade in the previous school year t."
"UIS.ROFST.1"	"Out-of-school rate for children of primary school age, both sexes (%)"	"The number of students of the official age for primary education is subtracted from the total population of the same age. The result is expressed as a percentage of the population of the official age for primary education. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/"
"UIS.ROFST.1.F"	"Out-of-school rate for children of primary school age, female (%)"	"The number of female students of the official age for primary education is subtracted from the total female population of the same age. The result is expressed as a percentage of the female population of the official age for primary education. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/"
"UIS.ROFST.1.M"	"Out-of-school rate for children of primary school age, male (%)"	"The number of male students of the official age for primary education is subtracted from the total male population of the same age. The result is expressed as a percentage of the male population of the official age for primary education. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/"
"UIS.ROFST.2"	"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)"	"Number of adolescents of official lower secondary school age who are not enrolled in lower secondary school expressed as a percentage of the population of official lower secondary school age."
"UIS.ROFST.2.F"	"Out-of-school rate for adolescents of lower secondary school age, female (%)"	"Number of females of official lower secondary school age who are not enrolled in lower secondary school expressed as a percentage of the female population of official lower secondary school age."
"UIS.ROFST.2.M"	"Out-of-school rate for adolescents of lower secondary school age, male (%)"	"Number of males of official lower secondary school age who are not enrolled in lower secondary school expressed as a percentage of the male population of official lower secondary school age."
"UIS.SAP.1.G1"	"Population of the official entrance age to primary education, both sexes (number)"	"Population of the age-group theoretically corresponding to the official entrance age to primary education. The official entrance age is the age at which students would enter a given programme or level of education assuming they start at the official entrance age for the lowest level of education, study full-time throughout and progressed through the system without repeating or skipping a grade. The theoretical entrance age to a given programme or level is typically, but not always, the most common entrance age."
"UIS.SAP.1.G1.F"	"Population of the official entrance age to primary education, female (number)"	"Female population of the age-group theoretically corresponding to the official entrance age to primary education. The official entrance age is the age at which students would enter a given programme or level of education assuming they start at the official entrance age for the lowest level of education, study full-time throughout and progressed through the system without repeating or skipping a grade. The theoretical entrance age to a given programme or level is typically, but not always, the most common entrance age."
"UIS.SAP.1.G1.M"	"Population of the official entrance age to primary education, male (number)"	"Male population of the age-group theoretically corresponding to the official entrance age to primary education. The official entrance age is the age at which students would enter a given programme or level of education assuming they start at the official entrance age for the lowest level of education, study full-time throughout and progressed through the system without repeating or skipping a grade. The theoretical entrance age to a given programme or level is typically, but not always, the most common entrance age."
"UIS.SAP.4"	"School age population, post-secondary non-tertiary education, both sexes (number)"	"Population of the age-group theoretically corresponding to post-secondary non-tertiary education as indicated by theoretical entrance age and duration."
"UIS.SAP.4.F"	"School age population, post-secondary non-tertiary education, female (number)"	"Female population of the age-group theoretically corresponding to post-secondary non-tertiary education as indicated by theoretical entrance age and duration."
"UIS.SAP.4.M"	"School age population, post-secondary non-tertiary education, male (number)"	"Male population of the age-group theoretically corresponding to post-secondary non-tertiary education as indicated by theoretical entrance age and duration."
"UIS.SLE.123"	"School life expectancy, primary and secondary, both sexes (years)"	"Number of years a person of school entrance age can expect to spend within the specified level of education. For a child of a certain age a, the school life expectancy is calculated as the sum of the age specific enrolment rates for the levels of education specified. The part of the enrolment that is not distributed by age is divided by the school-age population for the level of education they are enrolled in, and multiplied by the duration of that level of education. The result is then added to the sum of the age-specific enrolment rates. A relatively high SLE indicates greater probability for children to spend more years in education and higher overall retention within the education system. It must be noted that the expected number of years does not necessarily coincide with the expected number of grades of education completed, because of repetition. Since school life expectancy is an average based on participation in different levels of education, the expected number of years of schooling may be pulled down by the magnitude of children who never go to school. Those children who are in school may benefit from many more years of education than the average."
"UIS.SLE.123.F"	"School life expectancy, primary and secondary, female (years)"	"Number of years a person of school entrance age can expect to spend within the specified level of education. For a child of a certain age a, the school life expectancy is calculated as the sum of the age specific enrolment rates for the levels of education specified. The part of the enrolment that is not distributed by age is divided by the school-age population for the level of education they are enrolled in, and multiplied by the duration of that level of education. The result is then added to the sum of the age-specific enrolment rates. A relatively high SLE indicates greater probability for children to spend more years in education and higher overall retention within the education system. It must be noted that the expected number of years does not necessarily coincide with the expected number of grades of education completed, because of repetition. Since school life expectancy is an average based on participation in different levels of education, the expected number of years of schooling may be pulled down by the magnitude of children who never go to school. Those children who are in school may benefit from many more years of education than the average."
"UIS.SLE.123.GPI"	"School life expectancy, primary and secondary, gender parity index (GPI)"	"Ratio of female school life expectancy to the male school life expectancy. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females."
"UIS.SLE.123.M"	"School life expectancy, primary and secondary, male (years)"	"Number of years a person of school entrance age can expect to spend within the specified level of education. For a child of a certain age a, the school life expectancy is calculated as the sum of the age specific enrolment rates for the levels of education specified. The part of the enrolment that is not distributed by age is divided by the school-age population for the level of education they are enrolled in, and multiplied by the duration of that level of education. The result is then added to the sum of the age-specific enrolment rates. A relatively high SLE indicates greater probability for children to spend more years in education and higher overall retention within the education system. It must be noted that the expected number of years does not necessarily coincide with the expected number of grades of education completed, because of repetition. Since school life expectancy is an average based on participation in different levels of education, the expected number of years of schooling may be pulled down by the magnitude of children who never go to school. Those children who are in school may benefit from many more years of education than the average."
"UIS.SLE.1T6.GPI"	"School life expectancy, primary to tertiary, gender parity index (GPI)"	"Ratio of female school life expectancy to the male school life expectancy. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females."
"UIS.SLE.56"	"School life expectancy, tertiary, both sexes (years)"	"Number of years a person of school entrance age can expect to spend within the specified level of education. For a child of a certain age a, the school life expectancy is calculated as the sum of the age specific enrolment rates for the levels of education specified. The part of the enrolment that is not distributed by age is divided by the school-age population for the level of education they are enrolled in, and multiplied by the duration of that level of education. The result is then added to the sum of the age-specific enrolment rates. A relatively high SLE indicates greater probability for children to spend more years in education and higher overall retention within the education system. It must be noted that the expected number of years does not necessarily coincide with the expected number of grades of education completed, because of repetition. Since school life expectancy is an average based on participation in different levels of education, the expected number of years of schooling may be pulled down by the magnitude of children who never go to school. Those children who are in school may benefit from many more years of education than the average."
"UIS.SLE.56.F"	"School life expectancy, tertiary, female (years)"	"Number of years a person of school entrance age can expect to spend within the specified level of education. For a child of a certain age a, the school life expectancy is calculated as the sum of the age specific enrolment rates for the levels of education specified. The part of the enrolment that is not distributed by age is divided by the school-age population for the level of education they are enrolled in, and multiplied by the duration of that level of education. The result is then added to the sum of the age-specific enrolment rates. A relatively high SLE indicates greater probability for children to spend more years in education and higher overall retention within the education system. It must be noted that the expected number of years does not necessarily coincide with the expected number of grades of education completed, because of repetition. Since school life expectancy is an average based on participation in different levels of education, the expected number of years of schooling may be pulled down by the magnitude of children who never go to school. Those children who are in school may benefit from many more years of education than the average."
"UIS.SLE.56.GPI"	"School life expectancy, tertiary, gender parity index (GPI)"	"Ratio of female school life expectancy to the male school life expectancy. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females."
"UIS.SLE.56.M"	"School life expectancy, tertiary, male (years)"	"Number of years a person of school entrance age can expect to spend within the specified level of education. For a child of a certain age a, the school life expectancy is calculated as the sum of the age specific enrolment rates for the levels of education specified. The part of the enrolment that is not distributed by age is divided by the school-age population for the level of education they are enrolled in, and multiplied by the duration of that level of education. The result is then added to the sum of the age-specific enrolment rates. A relatively high SLE indicates greater probability for children to spend more years in education and higher overall retention within the education system. It must be noted that the expected number of years does not necessarily coincide with the expected number of grades of education completed, because of repetition. Since school life expectancy is an average based on participation in different levels of education, the expected number of years of schooling may be pulled down by the magnitude of children who never go to school. Those children who are in school may benefit from many more years of education than the average."
"UIS.SR.1.G4"	"Survival rate to Grade 4 of primary education, both sexes (%)"	"Percentage of a cohort of students enrolled in the first grade of primary education in a given school year who are expected to reach grade 4, regardless of repetition. Divide the total number of students belonging to a school-cohort who reached each successive grade of primary education by the number of students in the school-cohort i.e. those originally enrolled in the first grade of primary education, and multiply the result by 100. The survival rate is calculated on the basis of the reconstructed cohort method, which uses data on enrolment and repeaters for two consecutive years."
"UIS.SR.1.G4.F"	"Survival rate to Grade 4 of primary education, female (%)"	"Percentage of a cohort of female students enrolled in the first grade of primary education in a given school year who are expected to reach grade 4, regardless of repetition. Divide the total number of students belonging to a school-cohort who reached each successive grade of primary education by the number of students in the school-cohort i.e. those originally enrolled in the first grade of primary education, and multiply the result by 100. The survival rate is calculated on the basis of the reconstructed cohort method, which uses data on enrolment and repeaters for two consecutive years."
"UIS.SR.1.G4.GPI"	"Survival rate to Grade 4 of primary education, gender parity index (GPI)"	"Ratio of female survival rate to grade 4 to the male survival rate to grade 4. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females."
"UIS.SR.1.G4.M"	"Survival rate to Grade 4 of primary education, male (%)"	"Percentage of a cohort of male students enrolled in the first grade of primary education in a given school year who are expected to reach grade 4, regardless of repetition. Divide the total number of students belonging to a school-cohort who reached each successive grade of primary education by the number of students in the school-cohort i.e. those originally enrolled in the first grade of primary education, and multiply the result by 100. The survival rate is calculated on the basis of the reconstructed cohort method, which uses data on enrolment and repeaters for two consecutive years."
"UIS.SR.1.G5.GPI"	"Survival rate to Grade 5 of primary education, gender parity index (GPI)"	"Ratio of female survival rate to grade 5 to the male survival rate to grade 5. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females."
"UIS.SR.1.GLAST.GPI"	"Survival rate to the last grade of primary education, gender parity index (GPI)"	"Ratio of female survival rate to the last grade of primary education to the male survival rate to the last grade of primary education. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females."
"UIS.T.2"	"Teachers in lower secondary education, both sexes (number)"	"Total number of teachers in public and private lower secondary education institutions (ISCED 2). Teachers are persons employed full time or part time in an official capacity to guide and direct the learning experience of pupils and students, irrespective of their qualifications or the delivery mechanism, i.e. face-to-face and/or at a distance. This definition excludes educational personnel who have no active teaching duties (e.g. headmasters, headmistresses or principals who do not teach) and persons who work occasionally or in a voluntary capacity in educational institutions."
"UIS.T.2.F"	"Teachers in lower secondary education, female (number)"	"Total number of female teachers in public and private lower secondary education institutions (ISCED 2). Teachers are persons employed full time or part time in an official capacity to guide and direct the learning experience of pupils and students, irrespective of their qualifications or the delivery mechanism, i.e. face-to-face and/or at a distance. This definition excludes educational personnel who have no active teaching duties (e.g. headmasters, headmistresses or principals who do not teach) and persons who work occasionally or in a voluntary capacity in educational institutions."
"UIS.T.3"	"Teachers in upper secondary education, both sexes (number)"	"Total number of teachers in public and private upper secondary education institutions (ISCED 3). Teachers are persons employed full time or part time in an official capacity to guide and direct the learning experience of pupils and students, irrespective of their qualifications or the delivery mechanism, i.e. face-to-face and/or at a distance. This definition excludes educational personnel who have no active teaching duties (e.g. headmasters, headmistresses or principals who do not teach) and persons who work occasionally or in a voluntary capacity in educational institutions."
"UIS.T.3.F"	"Teachers in upper secondary education, female (number)"	"Total number of female teachers in public and private upper secondary education institutions (ISCED 3). Teachers are persons employed full time or part time in an official capacity to guide and direct the learning experience of pupils and students, irrespective of their qualifications or the delivery mechanism, i.e. face-to-face and/or at a distance. This definition excludes educational personnel who have no active teaching duties (e.g. headmasters, headmistresses or principals who do not teach) and persons who work occasionally or in a voluntary capacity in educational institutions."
"UIS.THAGE.0"	"Official entrance age to early childhood education (years)"	"Age at which students would enter early childhood education."
"UIS.THAGE.3.A.GPV"	"Official entrance age to upper secondary education (years)"	"Age at which students would enter upper secondary education, assuming they had started at the official entrance age for the lowest level of education, had studied full-time throughout and had progressed through the system without repeating or skipping a grade."
"UIS.THAGE.4.A.GPV"	"Official entrance age to post-secondary non-tertiary education (years)"	"Age at which students would enter post-secondary education, assuming they had started at the official entrance age for the lowest level of education, had studied full-time throughout and had progressed through the system without repeating or skipping a grade."
"UIS.THDUR.0"	"Theoretical duration of early childhood education (years)"	"Number of grades (years) in early childhood education."
"UIS.THDUR.4.A.GPV"	"Theoretical duration of post-secondary non-tertiary education (years)"	"Number of grades (years) in post-secondary education."
"UIS.XSPENDP.56.FDPUB.FNCAP"	"Capital expenditure as % of total expenditure in tertiary public institutions (%)"	"Capital expenditure expressed as a percentage of direct expenditure in public educational institutions (instructional and non-instructional) of the specified level of education. Financial aid to students and other transfers are excluded from direct expenditure. Capital expenditure is for education goods or assets that yield benefits for a period of more than one year. It includes expenditure for construction, renovation and major repairs of buildings and the purchase of heavy equipment or vehicles. Divide capital expenditure in public institutions of a given level of education (ex. primary, secondary, or all levels combined) by total expenditure (current and capital) in public institutions of the same level of education, and multiply by 100. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/"
"UIS.XSPENDP.56.FDPUB.FNCUR"	"Current expenditure as % of total expenditure in tertiary public institutions (%)"	"Current expenditure expressed as a percentage of direct expenditure in public educational institutions (instructional and non-instructional) of the specified level of education. Financial aid to students and other transfers are excluded from direct expenditure. Current expenditure is consumed within the current year and would have to be renewed if needed in the following year. It includes staff compensation and current expenditure other than for staff compensation (ex. on teaching materials, ancillary services and administration). Divide all current expenditure in public institutions of a given level of education (ex. primary, secondary, or all levels combined) by total expenditure (current and capital) in public institutions of the same level of education, and multiply by 100. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/"
"UIS.XSPENDP.56.FDPUB.FNNONS"	"Current expenditure other than staff compensation as % of total expenditure in tertiary public institutions (%)"	"Current expenditure other than for staff compensation expressed as a percentage of direct expenditure in public educational institutions (instructional and non-instructional) of the specified level of education. Financial aid to students and other transfers are excluded from direct expenditure. Current expenditure other than for staff compensation includes expenditure on school books and teaching materials, ancillary services (ex. food, transport), and administration and other support activities. Divide current expenditure other than staff compensation in public institutions of a given level of education (ex. primary, secondary, or all levels combined) by total expenditure (current and capital) in public institutions of the same level of education, and multiply by 100. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/"
"UIS.XSPENDP.56.FDPUB.FNS"	"All staff compensation as % of total expenditure in tertiary public institutions (%)"	"All staff (teacher and non-teachers) compensation expressed as a percentage of direct expenditure in public educational institutions (instructional and non-instructional) of the specified level of education. Financial aid to students and other transfers are excluded from direct expenditure. Staff compensation includes salaries, contributions by employers for staff retirement programmes, and other allowances and benefits. Divide all staff compensation in public institutions of a given level of education (ex. primary, secondary, or all levels combined) by total expenditure (current and capital) in public institutions of the same level of education, and multiply by 100. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/"
"BM.GSR.ROYL.CD"	"Charges for the use of intellectual property, payments (BoP, current US$)"	"Charges for the use of intellectual property are payments and receipts between residents and nonresidents for the authorized use of proprietary rights (such as patents, trademarks, copyrights, industrial processes and designs including trade secrets, and franchises) and for the use, through licensing agreements, of produced originals or prototypes (such as copyrights on books and manuscripts, computer software, cinematographic works, and sound recordings) and related rights (such as for live performances and television, cable, or satellite broadcast). Data are in current U.S. dollars."
"BX.GSR.ROYL.CD"	"Charges for the use of intellectual property, receipts (BoP, current US$)"	"Charges for the use of intellectual property are payments and receipts between residents and nonresidents for the authorized use of proprietary rights (such as patents, trademarks, copyrights, industrial processes and designs including trade secrets, and franchises) and for the use, through licensing agreements, of produced originals or prototypes (such as copyrights on books and manuscripts, computer software, cinematographic works, and sound recordings) and related rights (such as for live performances and television, cable, or satellite broadcast). Data are in current U.S. dollars."
"GB.XPD.RSDV.GD.ZS"	"Research and development expenditure (% of GDP)"	"Gross domestic expenditures on research and development (R&D), expressed as a percent of GDP. They include both capital and current expenditures in the four main sectors: Business enterprise, Government, Higher education and Private non-profit. R&D covers basic research, applied research, and experimental development."
"IP.JRN.ARTC.SC"	"Scientific and technical journal articles"	"Scientific and technical journal articles refer to the number of scientific and engineering articles published in the following fields: physics, biology, chemistry, mathematics, clinical medicine, biomedical research, engineering and technology, and earth and space sciences."
"IP.PAT.NRES"	"Patent applications, nonresidents"	"Patent applications are worldwide patent applications filed through the Patent Cooperation Treaty procedure or with a national patent office for exclusive rights for an invention--a product or process that provides a new way of doing something or offers a new technical solution to a problem. A patent provides protection for the invention to the owner of the patent for a limited period, generally 20 years."
"IP.PAT.RESD"	"Patent applications, residents"	"Patent applications are worldwide patent applications filed through the Patent Cooperation Treaty procedure or with a national patent office for exclusive rights for an invention--a product or process that provides a new way of doing something or offers a new technical solution to a problem. A patent provides protection for the invention to the owner of the patent for a limited period, generally 20 years."
"SP.POP.SCIE.RD.P6"	"Researchers in R&D (per million people)"	"The number of researchers engaged in Research &Development (R&D), expressed as per million. Researchers are professionals who conduct research and improve or develop concepts, theories, models techniques instrumentation, software of operational methods. R&D covers basic research, applied research, and experimental development."
"SP.POP.TECH.RD.P6"	"Technicians in R&D (per million people)"	"The number of technicians participated in Research & Development (R&D), expressed as per million. Technicians and equivalent staff are people who perform scientific and technical tasks involving the application of concepts and operational methods, normally under the supervision of researchers. R&D covers basic research, applied research, and experimental development."
